id,title,uploader,artist,tags,duration_seconds,upload_date,view_count,like_count,year_uploaded,tag_count,legible_title
rQtq27Ip6pc,Animals Can Be So Damn Dramatic 😂 Funniest Animal Video 2025,Funny Pet's Life,,"['Funny pet’s life', 'pet’s life', 'funny animal videos', 'funniest animals', 'funny dog videos', 'funny animals', 'funny video', 'funny horse', 'funny horse videos', 'horse videos', 'cute moment of the horses', 'soo cute', 'horses being dramatic', 'weird horse', 'horses being dramatic & weird', 'animal', 'animals', 'funny', 'funny animal video', 'Funniest ANIMAL Videos 2024', 'Funniest ANIMAL Videos 2025', 'Overdramatic Animals', 'Animals', 'Over Dramatic Animals Who Deserve An Oscar', 'Animals Can Be So Damn Dramatic']",1283,2025-06-29,25891,340,2025,25,Animals Can Be So Damn
eR9XzftlURA,"Best Chocolate Art Wins $1,000!",Stay Wild,,"['Ben Azelart', 'Stay Wild', 'Stay Wild Vlogs', 'Cam Huff', 'Stay Wild Reacts', 'Stay Wild Gaming']",2356,2025-06-22,10017624,139418,2025,6,"Best Chocolate Art Wins $1,000!"
M4TXO4kQwSQ,Can We Teach our Moms to Spot Fake Ai Videos?,Corridor Crew,,"['vfx', 'visual effects', 'ai slop', 'Fake videos', 'Ai scams', 'Debunk', 'Debunking', 'React', 'Reaction', 'VFX hoax', 'Generated video', 'Funny', 'Science', 'Scams']",969,2025-06-29,341652,27349,2025,14,Can We Teach our Moms
GR3Liudev18,Chappell Roan - Pink Pony Club (Official Music Video),Chappell Roan,,"['Chappell', 'Roan', 'Pink', 'Pony', 'Club', 'PS/', 'Island', 'Pop']",280,2020-04-03,78929786,705667,2020,8,Chappell Roan
DubtPdXXjew,Chappell Roan - The Giver (Official Lyric Video),Chappell Roan,,"['Chappell Roan', 'Chappell Roan PS/ Island', 'Pop']",203,2025-03-14,7341226,216430,2025,3,Chappell Roan
J7GY1Xg6X20,Charlie Chaplin - Final Speech from The Great Dictator,Charlie Chaplin,,"['Charlie Chaplin', 'The Tramp', 'The Great Dictator', 'Chaplin', 'Charles Chaplin', 'Charlot', 'Le Dictateur', 'Hynkel', 'Humanity', 'The Greatest speech', 'greatest speech ever made', 'speech', 'Il grande dittatore', 'Der große Diktator', 'O Grande Ditador', 'official', 'roy export sas', 'final speech', 'greatest speech', 'el gran dictador', 'liberty', 'italiano', 'français', 'message to humanity', 'inspirational', 'Discurso final', 'OFFICIAL', 'BEST VERSION', 'OFFICIEL', 'MEILLEURE VERSION', 'vostf']",216,2016-03-10,9753333,270838,2016,31,Charlie Chaplin
O-3g3YKGZ3Q,"CRAZY VIDEO OF TORNADOES IN SOUTH DAKOTA - JUNE 28, 2025",Texas Storm Chasers,,[],217,2025-06-29,15570,382,2025,0,CRAZY VIDEO OF TORNADOES IN
eDwi-8n054s,Fleetwood Mac - Silver Springs (Live) (Official Video) [HD],Fleetwood Mac,,"['Christine McVie', 'Fleetwood Mac', 'Fleetwood Mac Tour', 'FleetwoodMac', 'John McVie', 'Lindsey Buckingham', 'Mick Fleetwood', 'Rumours album', 'Stevie Nicks', 'fleetwood mac 50 years', 'fleetwood mac greatest hits', 'fleetwood mac live', 'fleetwood mac silver springs', 'fleetwood mac silver springs live', 'fleetwood mac silver springs official video', 'silver springs live', 'silver springs song', 'stevie nicks silver springs', 'fleetwood mac tiktok performance', 'daisy jones fleetwood mac', 'sliver springs tiktok']",334,2018-09-27,48870239,366705,2018,21,Fleetwood Mac
GkRNgwlA5NE,Liz Lawrence - None Of My Friends,lizlawrencemusic,,"['Liz', 'Lawrence', 'None', 'Of', 'My', 'Friends', 'Second', 'Breakfast', 'Alternative/Indie', 'Alternative', 'Pop']",166,2019-10-02,49610,811,2019,11,Liz Lawrence
leVupS98zOM,My Best Friend is Missing!,Rebecca Zamolo,,"['best', 'friend', 'best friend', 'missing', 'Rebecca', 'matt and rebecca', 'Rebecca Zamolo', 'matt', 'rebecca', 'ben azelart', 'Lexi Rivera', 'Brent Rivera', 'MrBeast', 'Faze Rug', 'Dhar Mann', 'Alexa rivera', 'royalty family', 'lankybox', 'Jordan Matter', 'Anazala family', 'Zadie', 'msa', 'aphmau']",1669,2025-06-29,1539194,19395,2025,23,My Best Friend is Missing!
